,0
minimum_Number,17.852061396331198
maximum_Number,0.3447144600093158
range_Number,14.472426258769758
mean_Number,1.468421474190872
avg_dev_Number,47.57404745549851
mode_Number,15.080941417468619
minimum_MendeleevNumber,748.1050274530578
maximum_MendeleevNumber,729.6573349285746
range_MendeleevNumber,1486.6892517140182
mean_MendeleevNumber,7.199593458451897
avg_dev_MendeleevNumber,1606.8674223183853
mode_MendeleevNumber,13.693336780274992
minimum_AtomicWeight,18.805854014812105
maximum_AtomicWeight,0.0568999698179332
range_AtomicWeight,11.050954285754333
mean_AtomicWeight,0.8598113886484309
avg_dev_AtomicWeight,39.213732134582045
mode_AtomicWeight,13.144055595557385
minimum_Column,210.7150042828584
maximum_Column,364.9692578063739
range_Column,685.2803338293426
mean_Column,27.816007998201584
avg_dev_Column,751.3123334976822
mode_Column,2.440939782271346
minimum_Row,7.879858781069109
maximum_Row,0.2489587797847264
range_Row,9.031247801354937
mean_Row,3.6045259617625645
avg_dev_Row,30.14390177246658
mode_Row,21.396407435599038
minimum_group,210.7150042828584
maximum_group,364.9692578063739
range_group,685.2803338293426
mean_group,27.816007998201584
avg_dev_group,751.3123334976822
mode_group,2.440939782271346
minimum_block,1434.6083967900595
maximum_block,835.8819892407486
range_block,384.1415667113253
mean_block,2291.2815847469356
avg_dev_block,210.75584999364213
mode_block,1551.0423801366978
minimum_CovalentRadius,18.059396280931487
maximum_CovalentRadius,515.2850661872014
range_CovalentRadius,155.77372456114583
mean_CovalentRadius,113.99066525324275
avg_dev_CovalentRadius,141.77127055945445
mode_CovalentRadius,5.928630000383715
minimum_NsValence,15.374584983796183
maximum_NsValence,14.37531403134828
range_NsValence,22.445811057442825
mean_NsValence,6.721302469187156
avg_dev_NsValence,11.27952764663713
mode_NsValence,26.478129917786344
minimum_NpValence,88.74338150032071
maximum_NpValence,820.2021730782704
range_NpValence,685.0521483788337
mean_NpValence,843.6364064950577
avg_dev_NpValence,593.9626667605986
mode_NpValence,420.40756569370944
minimum_NdValence,32.64041507805548
maximum_NdValence,85.02412403514833
range_NdValence,154.4815484527009
mean_NdValence,1.659420815450045
avg_dev_NdValence,137.08940009209476
mode_NdValence,38.123722250460105
minimum_NfValence,15.22193484786146
maximum_NfValence,61.149795936512305
range_NfValence,47.067855492065945
mean_NfValence,117.66789588271418
avg_dev_NfValence,70.54034579664815
mode_NfValence,96.32671052104998
minimum_NValence,75.97615212754611
maximum_NValence,31.42108770525894
range_NValence,112.87864405398288
mean_NValence,2.072822569707188
avg_dev_NValence,57.40909985851252
mode_NValence,20.60588311669115
minimum_NsUnfilled,14.36111357721341
maximum_NsUnfilled,32.6496729636397
range_NsUnfilled,43.207604116830254
mean_NsUnfilled,0.0385596897942524
avg_dev_NsUnfilled,26.5046710602854
mode_NsUnfilled,56.90598160748475
minimum_NpUnfilled,15.027152260475695
maximum_NpUnfilled,1.3411365393807475
range_NpUnfilled,5.426468794743399
mean_NpUnfilled,3.92820780852852
avg_dev_NpUnfilled,25.356995523456078
mode_NpUnfilled,17.811236723311133
minimum_NdUnfilled,737.1622987210045
maximum_NdUnfilled,1304.5610728376612
range_NdUnfilled,859.7930999313157
mean_NdUnfilled,2195.706939551696
avg_dev_NdUnfilled,869.8703414443203
mode_NdUnfilled,917.6295292079276
minimum_NfUnfilled,17.782623593499352
maximum_NfUnfilled,35.11524416719631
range_NfUnfilled,28.63532716154143
mean_NfUnfilled,88.88342565879816
avg_dev_NfUnfilled,46.53872325639261
mode_NfUnfilled,67.4653634632703
minimum_NUnfilled,1444.2458266833905
maximum_NUnfilled,256.0110327803619
range_NUnfilled,1.5707943634647394
mean_NUnfilled,963.5411099191284
avg_dev_NUnfilled,2.697080863993872
mode_NUnfilled,639.9620258013997
minimum_MeltingT,2638.358946281612
maximum_MeltingT,3864.4763792387757
range_MeltingT,306.1949587557432
mean_MeltingT,6265.912112097016
avg_dev_MeltingT,538.9152558736854
mode_MeltingT,3256.540156134481
minimum_Electronegativity,1149.723183700566
maximum_Electronegativity,29.45212749621245
range_Electronegativity,413.873529106528
mean_Electronegativity,30.240165539434027
avg_dev_Electronegativity,350.27831294830395
mode_Electronegativity,21.656301376637657
minimum_GSvolume_pa,1260.6621268657007
maximum_GSvolume_pa,2039.4992944844832
range_GSvolume_pa,958.7995528575042
mean_GSvolume_pa,3851.785760612857
avg_dev_GSvolume_pa,1068.7516097593582
mode_GSvolume_pa,1529.7186778121707
minimum_GSbandgap,1.5885835430511706
maximum_GSbandgap,3.294235075677534
range_GSbandgap,4.059927230771423
mean_GSbandgap,29.549045936028698
avg_dev_GSbandgap,2.043401554353454
mode_GSbandgap,96.73937740363452
minimum_GSmagmom,26.569074719665732
maximum_GSmagmom,365.24167304355416
range_GSmagmom,347.40686811643667
mean_GSmagmom,515.0098622200887
avg_dev_GSmagmom,413.53719852688477
mode_GSmagmom,385.09066635268397
minimum_SpaceGroupNumber,527.6671088053313
maximum_SpaceGroupNumber,82.4397817304668
range_SpaceGroupNumber,405.5729290788382
mean_SpaceGroupNumber,562.8621800359426
avg_dev_SpaceGroupNumber,344.8703617032392
mode_SpaceGroupNumber,493.1661467651929
minimum_heat_fusion,1544.0678787643594
maximum_heat_fusion,1845.8243293200742
range_heat_fusion,490.46206035762947
mean_heat_fusion,3080.46999668276
avg_dev_heat_fusion,674.2391740525683
mode_heat_fusion,2317.7496192702934
minimum_boiling_point,2093.792841722429
maximum_boiling_point,3586.1055081961713
range_boiling_point,18.87628636838347
mean_boiling_point,4532.95576179723
avg_dev_boiling_point,94.2577704270346
